date,description,amount,type,category,accountId
2025-08-17,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2025-08-17,John J Murphy,,CashAndCreditTransaction,,63310740_3389445
2022-09-04,VENMO            DES:PAYMENT    ID:XXXXX53575863             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-09-03,EB 2022 OTIS MOUNTAIN    801-413-7200 CA ,,CashAndCreditTransaction,,63310740_7664647
2022-09-01,VENMO            DES:PAYMENT    ID:XXXXX90806918             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-07-08,Venmo,,CashAndCreditTransaction,,63310740_3389445
2022-06-02,TEMPLE OF GROOM - CAMB   192-92652995 NY ,,CashAndCreditTransaction,,63310740_7664647
2022-06-01,Target,,CashAndCreditTransaction,,63310740_7664647
2022-06-01,Honeycomb Creamery,,CashAndCreditTransaction,,63310740_7664647
2022-06-01,Cambridge Naturals,,CashAndCreditTransaction,,63310740_7664647
2022-06-01,"Cambridge Natural Foods, Inc.",,CashAndCreditTransaction,,63310740_7664647
2022-06-01,CVS,,CashAndCreditTransaction,,63310740_7664647
2022-05-28,Apple,,CashAndCreditTransaction,,63310740_7664647
2022-05-27,PAR*LIFE ALIVE CAFE      CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-26,JPMORGAN TR II U S GOVT MONEY MKT FD CAP CL MONTHLY DIVIDEND,,InvestmentTransaction,,63310740_7876057
2022-05-26,PAR*LIFE ALIVE CAFE      BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-26,NEW YORK PIZZA &THEATER  BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-25,TST* ROCK&RYE            BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,SQ *AERONAUT ALLSTON     Boston       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,Uber.com,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,SQ *AERONAUT ALLSTON     Boston       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,Whole Foods,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,ZAAKI                    DEDHAM       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,TST* Notch Brewing - BrigBrighton     MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-23,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-23,VENMO            DES:PAYMENT    ID:XXXXX45414569             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-21,SQ *1369 COFFEEHOUSE     Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-21,TST* VIALE               CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-20,ORSTED ONSHORE S DES:PAYROLL    ID:040092                    INDN:MURPHY JOHN             CO ID:XXXXX22657 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-05-20,PAR*LIFE ALIVE CAFE      BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-20,SQ *1369 COFFEEHOUSE     Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-19,TST* Club Passim         Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-19,PAR*LIFE ALIVE CAFE      BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-19,Interest Earned,,CashAndCreditTransaction,,63310740_3389446
2022-05-18,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
2022-05-18,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-05-18,PAR*LIFE ALIVE CAFE      BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-18,THE SALTY PIG            BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-17,Management Fee,,InvestmentTransaction,,63310740_7876057
2022-05-17,Bank of America Credit Card Bill Payment,,CashAndCreditTransaction,,63310740_3389445
2022-05-17,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-17,HLU*Hulu 1345156611107-U HULU.COM/BILLCA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-17,PAYMENT - THANK YOU                      ,,CashAndCreditTransaction,,63310740_7664647
2022-05-17,RICHDALE FOOD SHOPS 110  BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,BANK OF AMERICA CREDIT CARD Bill Payment,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,VENMO            DES:PAYMENT    ID:XXXXX22907646             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,Media Works Inc,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,VENMO            DES:PAYMENT    ID:XXXXX93785682             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,VENMO            DES:PAYMENT    ID:XXXXX22905027             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-16,LEVELUPSWEETGREEN2218    855-466-5585 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,BLUE MOON SMOKE SHOP CAMBCAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,TST* Ole - Taste of MexicCambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,LS DANA HILL LIQUORS     617-5476199  MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,SQ *TOSCANINI'S ICE CREAMCambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,STARBUCKS STORE 07338    CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-16,LINKEDIN-692*5445166     LNKD.IN/BILL CA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-14,PAYMENT - THANK YOU                      ,,CashAndCreditTransaction,,63310740_7664647
2022-05-14,TST* Trinas Starlight Lo Somerville   MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-14,Hello Code Exist,,CashAndCreditTransaction,,63310740_7664647
2022-05-13,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-05-13,COMCAST CABLE COMM       800-COMCAST  NH ,,CashAndCreditTransaction,,63310740_7664647
2022-05-13,Automatic Transfer to SAV 0277                              Confirmation# XXXXX49804,,CashAndCreditTransaction,,63310740_3389445
2022-05-13,Automatic Transfer from CHK 1163                            Confirmation# XXXXX49804,,CashAndCreditTransaction,,63310740_3389446
2022-05-12,TRAFFIC POS              CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-12,A MEDIUM CORPORATION 415-508-5008 CA,,CashAndCreditTransaction,,63310740_7664647
2022-05-12,ICI*FEE CAMBRIDGE        BRAINTREE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-11,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-05-11,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-05-11,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-05-11,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-05-11,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-05-11,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-05-11,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
